,id,full_name,first_name,last_name,is_active
700,76350,Kenny Carr,Kenny,Carr,False
701,76351,M.L. Carr,M.L.,Carr,False
702,76352,Bob Carrington,Bob,Carrington,False
703,1642267,Carlton Carrington,Carlton,Carrington,False
704,201960,DeMarre Carroll,DeMarre,Carroll,False
705,76353,Joe Barry Carroll,Joe Barry,Carroll,False
706,2679,Matt Carroll,Matt,Carroll,False
707,1131,Jimmy Carruth,Jimmy,Carruth,False
708,1853,Anthony Carter,Anthony,Carter,False
709,76355,Butch Carter,Butch,Carter,False
710,1642269,Devin Carter,Devin,Carter,False
711,76356,Fred Carter,Fred,Carter,False
712,76357,George Carter,George,Carter,False
713,76358,Howard Carter,Howard,Carter,False
714,76359,Jake Carter,Jake,Carter,False
715,1628975,Jevon Carter,Jevon,Carter,True
716,2466,Maurice Carter,Maurice,Carter,False
717,76360,Reggie Carter,Reggie,Carter,False
718,76361,Ron Carter,Ron,Carter,False
719,1713,Vince Carter,Vince,Carter,False
720,1628976,Wendell Carter Jr.,Wendell,Carter Jr.,True
721,203487,Michael Carter-Williams,Michael,Carter-Williams,False
722,1630618,DJ Carton,DJ,Carton,True
723,76362,Bill Cartwright,Bill,Cartwright,False
724,76363,Jay Carty,Jay,Carty,False
725,1627936,Alex Caruso,Alex,Caruso,True
726,76364,Cornelius Cash,Cornelius,Cash,False
727,208,Sam Cassell,Sam,Cassell,False
728,201956,Omri Casspi,Omri,Casspi,False
729,1642264,Stephon Castle,Stephon,Castle,False
730,1630658,Colin Castleton,Colin,Castleton,True
731,76365,Harvey Catchings,Harvey,Catchings,False
732,767,Terry Catledge,Terry,Catledge,False
733,76367,Sid Catlett,Sid,Catlett,False
734,1509,Kelvin Cato,Kelvin,Cato,False
735,76368,Bobby Cattage,Bobby,Cattage,False
736,1626161,Willie Cauley-Stein,Willie,Cauley-Stein,False
737,1628505,Troy Caupain,Troy,Caupain,False
738,190,Duane Causwell,Duane,Causwell,False
739,1628463,Tyler Cavanaugh,Tyler,Cavanaugh,False
740,76370,Ron Cavenall,Ron,Cavenall,False
741,1629958,Ahmad Caver,Ahmad,Caver,False
742,1630608,Malcolm Cazalon,Malcolm,Cazalon,True
743,76,Cedric Ceballos,Cedric,Ceballos,False
744,1911,John Celestand,John,Celestand,False
745,76373,Al Cervi,Al,Cervi,False
746,2763,Lionel Chalmers,Lionel,Chalmers,False
747,201596,Mario Chalmers,Mario,Chalmers,False
748,76374,Bill Chamberlain,Bill,Chamberlain,False
749,76375,Wilt Chamberlain,Wilt,Chamberlain,False
750,76376,Jerry Chambers,Jerry,Chambers,False
751,1472,Tom Chambers,Tom,Chambers,False
752,1630577,Julian Champagnie,Julian,Champagnie,True
753,1630551,Justin Champagnie,Justin,Champagnie,True
754,76378,Mike Champion,Mike,Champion,False
755,1631113,Kennedy Chandler,Kennedy,Chandler,False
